state,name,candidate,party,total
Uttar Pradesh,Sitapur,ERAJ BEG,NEP,2195
Uttar Pradesh,Sitapur,CHAUDHARY LAL BAGHEL,BMUP,1992
Uttar Pradesh,Sitapur,JAGDISH NARAYAN SHUKLA,AITC,8089
Uttar Pradesh,Sitapur,JAGMOHAN SINGH VERMA,AIFB,2550
Uttar Pradesh,Sitapur,R. K. MISRA,NBDP,2205
Uttar Pradesh,Sitapur,RAM AVTAR NISHAD,jhspt,2504
Uttar Pradesh,Sitapur,SHEFALI MISRA,AAAP,2319
Uttar Pradesh,Sitapur,SANT KUMAR,CPIM,1544
Uttar Pradesh,Sitapur,SANJAY TIWARI,NAP,2373
Uttar Pradesh,Sitapur,TURAB ALI,IND,6646
Uttar Pradesh,Sitapur,PUSHPA DEVI,IND,3575
Uttar Pradesh,Sitapur,SUCHITA KUMAR,IND,8959
Uttar Pradesh,Sitapur,None of the Above,NOTA,12682
Uttar Pradesh,Hardoi,ANSHUL VERMA,BJP,360501
Uttar Pradesh,Hardoi,USHA VERMA,SP,276543
Uttar Pradesh,Hardoi,SHIVE PRASAD VERMA,BSP,279158
Uttar Pradesh,Hardoi,SARVESH KUMAR,INC,23298
Uttar Pradesh,Hardoi,CHANDRAPAL,BRPP,2003
Uttar Pradesh,Hardoi,RAMDAYAL,PECP,1576
Uttar Pradesh,Hardoi,RAMLAKHAN GAUTAM,ISSP,834
Uttar Pradesh,Hardoi,SANJAY KUMAR,BKrD,830
Uttar Pradesh,Hardoi,SANTRAM,BMUP,1296
Uttar Pradesh,Hardoi,HIRA LAL VERMA,AAAP,1669
Uttar Pradesh,Hardoi,RAMPAL,IND,1326
Uttar Pradesh,Hardoi,SHIVEKUMAR,IND,4740
Uttar Pradesh,Hardoi,SAROJ KUMAR,IND,3287
Uttar Pradesh,Hardoi,SARVESH,IND,4130
Uttar Pradesh,Hardoi,SUNIL BHARTI,IND,4045
Uttar Pradesh,Hardoi,None of the Above,NOTA,7660
Uttar Pradesh,Misrikh,ANJU BALA,BJP,412575
Uttar Pradesh,Misrikh,ASHOK KUMAR RAWAT,BSP,325212
Uttar Pradesh,Misrikh,OM PRAKASH,INC,33075
Uttar Pradesh,Misrikh,JAI PRAKASH,SP,194759
Uttar Pradesh,Misrikh,KANEDI,BMUP,2773
Uttar Pradesh,Misrikh,NAGPAL,BKrD,847
Uttar Pradesh,Misrikh,MANSHARAM GAUTAM,CPIM,704
Uttar Pradesh,Misrikh,RAJESH KUMAR S/O PARMESHWAR DEEN,BRPP,1158
Uttar Pradesh,Misrikh,HARINAM,SP(I),1003
Uttar Pradesh,Misrikh,RAJESH KUMAR S/O BABOORAM,IND,951
Uttar Pradesh,Misrikh,RAMPAL,IND,2234
Uttar Pradesh,Misrikh,SHABNUM,IND,1785
Uttar Pradesh,Misrikh,SWADESH KUMAR,IND,2970
Uttar Pradesh,Misrikh,HANS MUKHI KATHERIA,IND,8635
Uttar Pradesh,Misrikh,None of the Above,NOTA,9633
Uttar Pradesh,Unnao,ARUN SHANKAR SHUKLA,SP,208661
Uttar Pradesh,Unnao,BRAJESH PATHAK,BSP,200176
Uttar Pradesh,Unnao,SUKHDEV,MwSP,4401
Uttar Pradesh,Unnao,SAKSHI MAHARAJ,BJP,518834
Uttar Pradesh,Unnao,SUMIT TEWARI,NBDP,3398
Uttar Pradesh,Unnao,ANIL KUMAR MISHRA,SP(I),1881
Uttar Pradesh,Unnao,SHALU DHARMENDRA YADAV,SARP,2440
Uttar Pradesh,Unnao,ANIL KUMAR CHAUDHARY,IND,9618
Uttar Pradesh,Unnao,ANNU TANDON,INC,197098
Uttar Pradesh,Unnao,ARVIND KUMAR,AAAP,4214
Uttar Pradesh,Unnao,ROOP NARAYAN SINGH,BSCP,1818
Uttar Pradesh,Unnao,GIRJA SHANKAR @ RAJU,SWPI,5871
Uttar Pradesh,Unnao,SHIVNATH,IND,3472
Uttar Pradesh,Unnao,RAKESH KUMAR,BMUP,2771
Uttar Pradesh,Unnao,ANIL KUMAR,IND,3214
Uttar Pradesh,Unnao,RAMESHWAR,IND,9277
Uttar Pradesh,Unnao,MOHAMMAD AMIR KHAN,IND,4148
Uttar Pradesh,Unnao,RAJNIKANT,IND,3987
Uttar Pradesh,Unnao,SHIVKANT,IND,3978
Uttar Pradesh,Unnao,AKHILESH KUMAR,CPIM,5128
Uttar Pradesh,Unnao,CHETRAM PASI,RPI(A),2592
Uttar Pradesh,Unnao,None of the Above,NOTA,4626
Uttar Pradesh,Mohanlalganj,KAUSHAL KISHORE,BJP,455274
Uttar Pradesh,Mohanlalganj,R.K CHAUDHARY,BSP,309858
Uttar Pradesh,Mohanlalganj,NARENDRA GAUTAM,INC,52598
Uttar Pradesh,Mohanlalganj,SUSHILA SAROJ,SP,242366
Uttar Pradesh,Mohanlalganj,AMIT RAWAT,AITC,5115
Uttar Pradesh,Mohanlalganj,OM PRAKASH,PECP,1427
Uttar Pradesh,Mohanlalganj,GOPAL KANAUJIYA,RPI(A),1826
Uttar Pradesh,Mohanlalganj,GAUTAM BHARTI,RRP,2225
Uttar Pradesh,Mohanlalganj,JAGDISH PRASAD GAUTAM,MwSP,1494
Uttar Pradesh,Mohanlalganj,BRIJLAL,SARP,1632
Uttar Pradesh,Mohanlalganj,MAHENDRA KUMAR RAWAT,ASaP,1617
Uttar Pradesh,Mohanlalganj,MEENA RAWAT,NAP,1782
Uttar Pradesh,Mohanlalganj,MEERA DEVI,MaSPa,2425
Uttar Pradesh,Mohanlalganj,SANTOSH KUMAR DHARKAR,INL,4280
Uttar Pradesh,Mohanlalganj,SUNIL GAUTAM,AAAP,10031
Uttar Pradesh,Mohanlalganj,MAHESH KUMAR,IND,7412
Uttar Pradesh,Mohanlalganj,REENA CHAUDHARY,IND,6304
Uttar Pradesh,Mohanlalganj,SHATROHANLAL RAWAT,IND,4214
Uttar Pradesh,Mohanlalganj,None of the Above,NOTA,4708
Uttar Pradesh,Lucknow,ABHISHEK MISRA,SP,56771
Uttar Pradesh,Lucknow,NAKUL DUBEY,BSP,64449
Uttar Pradesh,Lucknow,RAJ NATH SINGH,BJP,561106
Uttar Pradesh,Lucknow,PROF. RITA BAHUGUNA JOSHI,INC,288357
Uttar Pradesh,Lucknow,SYED JAVED AHMED JAFRI,AAAP,41429
Uttar Pradesh,Lucknow,TARA PATKAR,SWPI,743
Uttar Pradesh,Lucknow,NAND KUMAR LODHI RAJPOOT,RKSP,445
Uttar Pradesh,Lucknow,RABI DUBEY,NEP,361
Uttar Pradesh,Lucknow,RAJ KUMAR SINGH,NYP,523
Uttar Pradesh,Lucknow,RADHA KRISHNAN,UPRP,542
Uttar Pradesh,Lucknow,RAMPHAL RAWAT,BHNKP,502
Uttar Pradesh,Lucknow,VIJAY BAHADUR SINGH,MwSP,575
Uttar Pradesh,Lucknow,SHISHU PAL YADAV,RVLP,851
Uttar Pradesh,Lucknow,MOHD. SARWAR MALIK,AITC,1486
Uttar Pradesh,Lucknow,SUNIL SINGH,LD,849
Uttar Pradesh,Lucknow,SUMAN VERMA,BSCP,1901
Uttar Pradesh,Lucknow,SANJEEV MEHROTRA ALIAS PIKKU BHAI,BKP,1174
Uttar Pradesh,Lucknow,HARI RAM ALIAS HARIBHAI PATEL,SPP,694
Uttar Pradesh,Lucknow,SYED ALI HUSAIN,IND,1100
Uttar Pradesh,Lucknow,ASOK PANDE,IND,930
Uttar Pradesh,Lucknow,ADARSH SHASTRI,IND,389
Uttar Pradesh,Lucknow,GHANSHYAM SINGH,IND,282
Uttar Pradesh,Lucknow,PADAM CHANDRA GUPTA,IND,661
Uttar Pradesh,Lucknow,MANOJ SINGH,IND,572
Uttar Pradesh,Lucknow,YOGESH CHANDRA BHATT,IND,337
Uttar Pradesh,Lucknow,RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI,IND,390
Uttar Pradesh,Lucknow,VINAY PRAKASH MISHRA,IND,441
Uttar Pradesh,Lucknow,SHAILENDRA SINGH YADAV,IND,608
Uttar Pradesh,Lucknow,SUBHASH CHANDRA LEHRI,IND,719
Uttar Pradesh,Lucknow,None of the Above,NOTA,4696
Uttar Pradesh,Rae Bareli,AJAY AGRAWAL,BJP,173721
Uttar Pradesh,Rae Bareli,PRAVESH SINGH,BSP,63633
Uttar Pradesh,Rae Bareli,SONIA GANDHI,INC,526434
Uttar Pradesh,Rae Bareli,ARCHANA SRIVASTAVA,AAAP,10383
Uttar Pradesh,Rae Bareli,ANJU SINGH,AITC,3507
Uttar Pradesh,Rae Bareli,KIRAN CHAUDHARI,BMUP,5205
Uttar Pradesh,Rae Bareli,KAILASH KUMAR,HKRD,2645
Uttar Pradesh,Rae Bareli,JAWAHAR LAL,NJC,1463
Uttar Pradesh,Rae Bareli,MOHAMMAD ASHRAF,VIP,1586
Uttar Pradesh,Rae Bareli,RATIRAM,SARP,1661
Uttar Pradesh,Rae Bareli,SHIV SEWAK,RAHM,1493
Uttar Pradesh,Rae Bareli,SAHAR NAQVI,LD,2108
Uttar Pradesh,Rae Bareli,SURESH CHANDRA,MwSP,3330
Uttar Pradesh,Rae Bareli,PRAMOD KUREEL,IND,6688
Uttar Pradesh,Rae Bareli,MANGAL SAIN,IND,4418
Uttar Pradesh,Rae Bareli,SHAKIL AHAMAD,IND,7914
Uttar Pradesh,Rae Bareli,SAHADAT ALI KHAN,IND,3538
Uttar Pradesh,Rae Bareli,None of the Above,NOTA,5409
Uttar Pradesh,Amethi,DHARMENDRA PRATAP SINGH,BSP,57716
Uttar Pradesh,Amethi,RAHUL GANDHI,INC,408651
Uttar Pradesh,Amethi,SMRITI IRANI,BJP,300748
Uttar Pradesh,Amethi,GOPAL SWAROOP GANDHI,KMBS,5467
Uttar Pradesh,Amethi,CHHAYA SINGH,AITC,4109
Uttar Pradesh,Amethi,ZAHIDA BEGAM,PECP,1387
Uttar Pradesh,Amethi,BABU LAL,BMUP,1617
Uttar Pradesh,Amethi,C L MAURYA,PGSP,1871
Uttar Pradesh,Amethi,RAVI KUMAR,MBCOI,1064
Uttar Pradesh,Amethi,RADHE MOHAN,ssrd,1753
Uttar Pradesh,Amethi,RAM ASREY,RaMSP,1572
Uttar Pradesh,Amethi,RAM NEWAJ,PMSP,1140
Uttar Pradesh,Amethi,RAMSIDDH YADAV,MwSP,2189
Uttar Pradesh,Amethi,VASDEO,CPIM,2546
Uttar Pradesh,Amethi,DR. KUMAR VISHVAS,AAAP,25527
Uttar Pradesh,Amethi,VEDPAL SHASATRI,VIP,6464
Uttar Pradesh,Amethi,MOHD HASAN LAHRI,QED,4457
Uttar Pradesh,Amethi,UMAKANT,IND,3305
Uttar Pradesh,Amethi,GIRIJA BAKS,IND,2454
Uttar Pradesh,Amethi,GANGESH KUMAR GUPTA,IND,1307
Uttar Pradesh,Amethi,JAGAT SINGH CHAUDHARY,IND,1043
Uttar Pradesh,Amethi,JITENDRA SINGH,IND,2201
Uttar Pradesh,Amethi,TULSIRAM,IND,4884
Uttar Pradesh,Amethi,DWARIKA PRASAD,IND,2345
Uttar Pradesh,Amethi,NARESH SINGH BHADAURIYA,IND,1255
Uttar Pradesh,Amethi,BHAGWAN DEEN,IND,1299
Uttar Pradesh,Amethi,MITHILESH KUMARI,IND,2726
Uttar Pradesh,Amethi,RAMESH CHANDRA,IND,6422
Uttar Pradesh,Amethi,RAM SAJIWAN,IND,2384
Uttar Pradesh,Amethi,LAL BAHADUR,IND,2845
Uttar Pradesh,Amethi,SHIV KUMAR,IND,2289
Uttar Pradesh,Amethi,SWAMINATH,IND,5537
Uttar Pradesh,Amethi,SONAM KINNAR,IND,1252
Uttar Pradesh,Amethi,SANJAY KUMAR,IND,1015
Uttar Pradesh,Amethi,None of the Above,NOTA,1784
Uttar Pradesh,Sultanpur,AMEETA SINGH,INC,41983
Uttar Pradesh,Sultanpur,PAWAN PANDEY,BSP,231446
Uttar Pradesh,Sultanpur,FEROZE VARUN GANDHI,BJP,410348
Uttar Pradesh,Sultanpur,SHAKEEL AHMED,SP,228144
Uttar Pradesh,Sultanpur,GIRISH LAL,SBSP,3804
Uttar Pradesh,Sultanpur,DR. NAFEES AHMAD,RaIP,3381
Uttar Pradesh,Sultanpur,PITAMBAR NISHAD,PMSP,2737
Uttar Pradesh,Sultanpur,RAM MILAN,BMUP,1887
Uttar Pradesh,Sultanpur,MOHD SHAMIM,QED,1637
Uttar Pradesh,Sultanpur,SHIV SHANKAR,MBCOI,1601
Uttar Pradesh,Sultanpur,SHAILENDRA PRATAP SINGH,AAAP,5835
Uttar Pradesh,Sultanpur,SARTAJ KHAN,ADPT,2363
Uttar Pradesh,Sultanpur,BRIJESH KUMAR,IND,5752
Uttar Pradesh,Sultanpur,VARUN GANDHI,IND,14021
Uttar Pradesh,Sultanpur,VIJAY,IND,4630
Uttar Pradesh,Sultanpur,None of the Above,NOTA,5412
Uttar Pradesh,Pratapgarh,ASIF NIZAMUDDIN SIDDIQUE,BSP,207567
Uttar Pradesh,Pratapgarh,PRAMOD KUMAR SINGH PATEL,SP,120107
Uttar Pradesh,Pratapgarh,RAJKUMARI RATNA SINGH,INC,138620
Uttar Pradesh,Pratapgarh,"ASHOK SHUKLA "" SENANI""",AAAP,9983
Uttar Pradesh,Pratapgarh,NIRMALA DEVI,BaVaP,2766
Uttar Pradesh,Pratapgarh,FOOLCHANDRA,SHS,1859
Uttar Pradesh,Pratapgarh,BAL KRISHNA,JD(U),2160
Uttar Pradesh,Pratapgarh,RAJENDRA SHARMA,RshJP,1571
Uttar Pradesh,Pratapgarh,RAM SEWAK,BMUP,4207
Uttar Pradesh,Pratapgarh,SHESHNATH,SUCI,2458
Uttar Pradesh,Pratapgarh,SANTOSH KUMAR SINGH,AITC,6309
Uttar Pradesh,Pratapgarh,KUWAR HARIVANSH SINGH,AD,375789
Uttar Pradesh,Pratapgarh,AJMAL KHAN,IND,3342
Uttar Pradesh,Pratapgarh,KIRAN MISHRA,IND,3002
Uttar Pradesh,Pratapgarh,HARIVANSH,IND,5618
Uttar Pradesh,Pratapgarh,None of the Above,NOTA,9098
Uttar Pradesh,Farrukhabad,JAIVEER SINGH,BSP,114521
Uttar Pradesh,Farrukhabad,MUKESH RAJPUT,BJP,406195
Uttar Pradesh,Farrukhabad,RAMESHWAR SINGH YADAV,SP,255693
Uttar Pradesh,Farrukhabad,SALMAN KHURSHID,INC,95543
Uttar Pradesh,Farrukhabad,ANJU,BSCP,2254
Uttar Pradesh,Farrukhabad,KRISHAN KUMAR DIXIT ALIAS K. K. DIXIT,RVLP,2107
Uttar Pradesh,Farrukhabad,MO. TAMAJID,PECP,2655
Uttar Pradesh,Farrukhabad,TARIK PARVEZ,AAAP,1857
Uttar Pradesh,Farrukhabad,DAYA SHANKAR,ARVP,1864
Uttar Pradesh,Farrukhabad,RAMNIWAS KATHERIA,BMUP,941
Uttar Pradesh,Farrukhabad,ANURAG RAJPUT,IND,1605
Uttar Pradesh,Farrukhabad,ANOKHEY LAL,IND,1202
Uttar Pradesh,Farrukhabad,IMAMUDDIN HUSAIN HUSAIN,IND,1537
Uttar Pradesh,Farrukhabad,ANSHU MAHAN,IND,2066
Uttar Pradesh,Farrukhabad,KISHAN PAL SINGH,IND,2933
Uttar Pradesh,Farrukhabad,MALIKHAN SINGH ADVOCATE,IND,4659
Uttar Pradesh,Farrukhabad,MUKESH RAJPUT,IND,2420
Uttar Pradesh,Farrukhabad,RAM KISHORE DIWEDI,IND,4974
Uttar Pradesh,Farrukhabad,VIMLA DEVI,IND,2140
Uttar Pradesh,Farrukhabad,VRAHMA SARAN JATAV,IND,1809
Uttar Pradesh,Farrukhabad,SACHIN SINGH YADAV,IND,58703
Uttar Pradesh,Farrukhabad,SURESH SARASWAT ALAIS ILLAYCHIWALA,IND,1013
Uttar Pradesh,Farrukhabad,None of the Above,NOTA,1986
Uttar Pradesh,Etawah,AJAY PAL SINGH JATAV,BSP,192804
Uttar Pradesh,Etawah,ASHOK KUMAR DOHAREY,BJP,439646
Uttar Pradesh,Etawah,PREMDAS KATERIYA,SP,266700
Uttar Pradesh,Etawah,HANS MUKHI KORI,INC,13397
Uttar Pradesh,Etawah,UJIYARE LAL DOHARE,AAAP,5923
Uttar Pradesh,Etawah,PREM CHANDRA,KMBS,2372
Uttar Pradesh,Etawah,DR MUKESH SINGH DOHARE,PECP,3178
Uttar Pradesh,Etawah,VINEET KUMAR GAUTAM,ASP,4954
Uttar Pradesh,Etawah,SIYA RAM PASWAN,ALHP,1788
Uttar Pradesh,Etawah,HAR BILASH DOHERY,BMUP,2677
Uttar Pradesh,Etawah,None of the Above,NOTA,6165
Uttar Pradesh,Kannauj,DIMPLE YADAV,SP,489164
Uttar Pradesh,Kannauj,NIRMAL TIWARI,BSP,127785
Uttar Pradesh,Kannauj,SUBRAT PATHAK,BJP,469257
Uttar Pradesh,Kannauj,IMRAN BIN ZAFAR,AAAP,4826
Uttar Pradesh,Kannauj,GANGA CHARAN,RTKP,1282
Uttar Pradesh,Kannauj,PUSHPA DEVI,BSCP,806
Uttar Pradesh,Kannauj,SUBODH KUMAR,PECP,927
Uttar Pradesh,Kannauj,SURENDRA NATH,BMUP,888
Uttar Pradesh,Kannauj,PRADEEP KUMAR,IND,964
Uttar Pradesh,Kannauj,MUHAR SINGH AMVADI,IND,2891
Uttar Pradesh,Kannauj,RAKESH KUMAR TIWARI ADVOCATE,IND,5723
Uttar Pradesh,Kannauj,SANJAY SHAKYA,IND,2567
Uttar Pradesh,Kannauj,None of the Above,NOTA,7380
Uttar Pradesh,Kanpur Urban,DR.MURLI MANOHAR JOSHI,BJP,474712
Uttar Pradesh,Kanpur Urban,SALEEM AHMAD,BSP,53218
Uttar Pradesh,Kanpur Urban,SURENDRA MOHAN AGARWAL,SP,25723
Uttar Pradesh,Kanpur Urban,SRIPRAKASH JAISWAL,INC,251766
Uttar Pradesh,Kanpur Urban,ANIL AWASTHI,AITC,1701
Uttar Pradesh,Kanpur Urban,ANAND MEHROTRA,NEP,361
Uttar Pradesh,Kanpur Urban,DEVENDRA KUMAR SHARMA,ABAS,296
Uttar Pradesh,Kanpur Urban,MOHD.NASIR KHAN,PECP,364
Uttar Pradesh,Kanpur Urban,DR.NIKHIL GUPTA,NBDP,580
Uttar Pradesh,Kanpur Urban,MAHMOOD HUSAIN RAHMANI,AAAP,11925
Uttar Pradesh,Kanpur Urban,MOHAMMAD.ATEEQ,RWSP,425
Uttar Pradesh,Kanpur Urban,RAMESH KUMAR GUPTA,PSJP,433
Uttar Pradesh,Kanpur Urban,VINAYAK RAO TOPE,SWPI,723
Uttar Pradesh,Kanpur Urban,HIMMAT LAL,ABRS,683
Uttar Pradesh,Kanpur Urban,ASHOK PASWAN ADVOCATE,IND,1398
Uttar Pradesh,Kanpur Urban,KISHOR BAJPAI,IND,3005
Uttar Pradesh,Kanpur Urban,PREM CHANDRA PANDEY,IND,2350
Uttar Pradesh,Kanpur Urban,BETALAL DIWAKAR,IND,665
Uttar Pradesh,Kanpur Urban,MUZAFFAR HUSAIN KHAN,IND,1069
Uttar Pradesh,Kanpur Urban,VISHWANATH KATARIA,IND,929
Uttar Pradesh,Kanpur Urban,KUMARI SARASWATI,IND,475
Uttar Pradesh,Kanpur Urban,None of the Above,NOTA,2278
Uttar Pradesh,Akbarpur,ANIL SHUKLA WARSI,BSP,202587
Uttar Pradesh,Akbarpur,DEVENDRA SINGH @ BHOLE SINGH,BJP,481584
Uttar Pradesh,Akbarpur,RAJARAM PAL,INC,96827
Uttar Pradesh,Akbarpur,LAL SINGH TOMAR,SP,147002
Uttar Pradesh,Akbarpur,AMAR SINGH,JPS,1890
Uttar Pradesh,Akbarpur,ARVIND KUMAR,AAAP,7914
Uttar Pradesh,Akbarpur,DR. OMKAR NATH KATIYAR,ALHP,597
Uttar Pradesh,Akbarpur,GOPI RAMAN,JD(U),523
Uttar Pradesh,Akbarpur,JASWANT SINGH,BMUP,1037
Uttar Pradesh,Akbarpur,DR. BAJARANG PRATAP SONKAR,SARP,799
Uttar Pradesh,Akbarpur,RAMA KANT VERMA,PECP,1350
Uttar Pradesh,Akbarpur,RAMENDRA SINGH TOMAR,BSCP,2754
Uttar Pradesh,Akbarpur,ASHOK YADAV,IND,1853
Uttar Pradesh,Akbarpur,NEERAJ KUMAR ADVOCATE,IND,2259
Uttar Pradesh,Akbarpur,BHARTI DEVI PASI ADVOCATE,IND,5432
Uttar Pradesh,Akbarpur,MUNNI DEVI,IND,5331
Uttar Pradesh,Akbarpur,RAM SEVAK,IND,3403
Uttar Pradesh,Akbarpur,VIJAY KUMAR SHARMA,IND,4285
Uttar Pradesh,Akbarpur,None of the Above,NOTA,3948
Uttar Pradesh,Jalaun,GHANSHAYAM ANURAGI,SP,180921
Uttar Pradesh,Jalaun,BRIJLAL KHABRI,BSP,261429
Uttar Pradesh,Jalaun,BHANU PRATAP SINGH VERMA,BJP,548631
Uttar Pradesh,Jalaun,VIJAY CHAUDHARI,INC,82903
Uttar Pradesh,Jalaun,GANGASINGH,ALHP,2525
Uttar Pradesh,Jalaun,JAYRAM,BSCP,2047
Uttar Pradesh,Jalaun,DALCHANDRA ANURAGI,AAAP,3337
Uttar Pradesh,Jalaun,MANOJ KUMAR,BRPP,4561
Uttar Pradesh,Jalaun,RAJKUMAR,PECP,2816
Uttar Pradesh,Jalaun,RAMNARAYAN,BMUP,4944
Uttar Pradesh,Jalaun,RAM SINGH,CPI(ML)(L),4761
Uttar Pradesh,Jalaun,None of the Above,NOTA,10291
Uttar Pradesh,Jhansi,ANURADHA SHARMA,BSP,213792
Uttar Pradesh,Jhansi,UMA BHARATI,BJP,575889
Uttar Pradesh,Jhansi,DR. CHANDRAPAL SINGH YADAV,SP,385422
Uttar Pradesh,Jhansi,PRADEEP JAIN ''''''''ADITYA'''''''',INC,84089
Uttar Pradesh,Jhansi,ARCHANA,AAAP,5536
Uttar Pradesh,Jhansi,CHINTAMANI,ARWP,2029
Uttar Pradesh,Jhansi,NARESH KUMAR,RrSP,4215
Uttar Pradesh,Jhansi,MAULANA MOHAMMAD,PECP,1819
Uttar Pradesh,Jhansi,SUNIL MASSEY,SHS,2121
Uttar Pradesh,Jhansi,KULDEEP KUMAR,IND,2036
Uttar Pradesh,Jhansi,TULA RAM,IND,2605
Uttar Pradesh,Jhansi,DILSHAD AHMAD,IND,2727
Uttar Pradesh,Jhansi,RACHNA SHARMA,IND,4522
Uttar Pradesh,Jhansi,RAJENDRA KUMAR,IND,8600
Uttar Pradesh,Jhansi,RAM KUMAR ''''''''ANK SHASTRI'''''''',IND,11443
Uttar Pradesh,Jhansi,None of the Above,NOTA,13959
Uttar Pradesh,Hamirpur 2,KUNWAR PUSHPENDRA SINGH CHANDEL,BJP,453884
Uttar Pradesh,Hamirpur 2,"PRITAM SINGH LODHI ""KISAAN""",INC,78229
Uttar Pradesh,Hamirpur 2,BISHAMBHAR PRASAD NISHAD,SP,187096
Uttar Pradesh,Hamirpur 2,RAKESH KUMAR GOSWAMI,BSP,176356
Uttar Pradesh,Hamirpur 2,ATUL KUMAR PRAJAPATI,AAAP,9663
Uttar Pradesh,Hamirpur 2,ANIL KUMAR,ASP,4860
Uttar Pradesh,Hamirpur 2,AVINASH KUMAR MISHRA,AITC,6297
Uttar Pradesh,Hamirpur 2,KAILASH PRASAD NISHAD,EKSP,1756
Uttar Pradesh,Hamirpur 2,RAMESH PRAJAPATI,MBCOI,2981
Uttar Pradesh,Hamirpur 2,RAMSAJIVAN,BSCP,2955
Uttar Pradesh,Hamirpur 2,VIVEK KUMAR,RKSP,5749
Uttar Pradesh,Hamirpur 2,SHRIPAL,BC,3435
Uttar Pradesh,Hamirpur 2,KIRAN,IND,4079
Uttar Pradesh,Hamirpur 2,PRAVESH KUMAR VYAS,IND,4314
Uttar Pradesh,Hamirpur 2,VIMLESH,IND,23137
Uttar Pradesh,Hamirpur 2,None of the Above,NOTA,10449
Uttar Pradesh,Banda,BAL KUMAR PATEL ALIAS RAJKUMAR,SP,189730
Uttar Pradesh,Banda,BHAIRON PRASAD MISHRA,BJP,342066
Uttar Pradesh,Banda,RAMCHANDRA SARAS,CPI,15156
Uttar Pradesh,Banda,VIVEK KUMAR SINGH,INC,36650
Uttar Pradesh,Banda,R. K. SINGH PATEL,BSP,226278
Uttar Pradesh,Banda,AMAR SINGH RATHAUR,AAAP,6439
Uttar Pradesh,Banda,PAPPU YADAV,JD(U),2436
Uttar Pradesh,Banda,PRABHAKAR PRASAD,BKSL,2605
Uttar Pradesh,Banda,VISHVAMBHAR NATH,BMUP,4755
Uttar Pradesh,Banda,MO. SAGEER,PECP,3201
Uttar Pradesh,Banda,SUSHEELA SINGH,BSCP,2931
Uttar Pradesh,Banda,NARENDRA KUMAR SHRIVASTAVA,IND,5115
Uttar Pradesh,Banda,VIJAY PRAKASH,IND,7140
Uttar Pradesh,Banda,None of the Above,NOTA,13824
Uttar Pradesh,Fatehpur,AFZAL SIDDIQUI,BSP,298788
Uttar Pradesh,Fatehpur,USHA MAURYA,INC,46588
Uttar Pradesh,Fatehpur,NIRANJAN JYOTI,BJP,485994
Uttar Pradesh,Fatehpur,RAKESH SACHAN,SP,179724
Uttar Pradesh,Fatehpur,ASHOK MISHRA,SARP,3029
Uttar Pradesh,Fatehpur,ZAINUL ABDIN,AAAP,2454
Uttar Pradesh,Fatehpur,MOHAMMAD JAVED,NBDP,1657
Uttar Pradesh,Fatehpur,RAMKRISHNA TRIPATHI,AITC,7578
Uttar Pradesh,Fatehpur,RAMLOCHAN SEN,BMUP,2173
Uttar Pradesh,Fatehpur,RUKMINI DEVI NISHAD,PMSP,1345
Uttar Pradesh,Fatehpur,ARVIND KUMAR,IND,1967
Uttar Pradesh,Fatehpur,CHANDRABHAN SINGH,IND,2498
Uttar Pradesh,Fatehpur,RANJANA KAKKAR,IND,5448
Uttar Pradesh,Fatehpur,SRIDEVI,IND,5838
Uttar Pradesh,Fatehpur,None of the Above,NOTA,11607
Uttar Pradesh,Kaushambi,MAHENDRA KUMAR,INC,31905
Uttar Pradesh,Kaushambi,VINOD KUMAR SONKAR,BJP,331724
Uttar Pradesh,Kaushambi,SHAILENDRA KUMAR,SP,288824
Uttar Pradesh,Kaushambi,SURESH PASI,BSP,201322
Uttar Pradesh,Kaushambi,MALTI DEVI,RSMD,6556
Uttar Pradesh,Kaushambi,RAJENDRA SONKAR,LD,6389
Uttar Pradesh,Kaushambi,SHRIPAL,BMUP,7350
Uttar Pradesh,Kaushambi,SWARNALATA SUMAN,AAAP,3693
Uttar Pradesh,Kaushambi,CHHEDDOO,IND,3342
Uttar Pradesh,Kaushambi,BEENA RANI,IND,4958
Uttar Pradesh,Kaushambi,MOHAN LAL,IND,9182
Uttar Pradesh,Kaushambi,None of the Above,NOTA,15169
Uttar Pradesh,Phulpur,KAPIL MUNI KARWARIYA,BSP,163710
Uttar Pradesh,Phulpur,KESHAV PRASAD MAURYA,BJP,503564
Uttar Pradesh,Phulpur,MOHD. KAIF,INC,58127
Uttar Pradesh,Phulpur,DHARAM RAJ SINGH PATEL,SP,195256
Uttar Pradesh,Phulpur,GYANENDRA KUMAR SRIVASTAVA (GYANI BHAI),NCP,2706
Uttar Pradesh,Phulpur,GANESHJI TRIPATHI,RaBaP,1521
Uttar Pradesh,Phulpur,DAKKHINI PRASAD KUSHWAHA,RGD,1111
Uttar Pradesh,Phulpur,NATHU RAM BOUDHA,BMUP,1306
Uttar Pradesh,Phulpur,PARVEZ ASHFAQUE SIDDIQUI,QED,1302
Uttar Pradesh,Phulpur,SHIMALA SHRI,AAAP,7384
Uttar Pradesh,Phulpur,SURENDRA KUMAR MISHRA,LD,1585
Uttar Pradesh,Phulpur,ZIAOUL HAQUE,IND,3392
Uttar Pradesh,Phulpur,DR. NEERAJ,IND,2187
